"conductortype","ac_line_segment_per_meter_positive_sequence_impedance_r","ac_line_segment_per_meter_positive_sequence_impedance_x","ac_line_segment_per_meter_zero_sequence_impedance_r","ac_line_segment_per_meter_zero_sequence_impedance_x"
"1 - 2x16mm2 + E Cu (TPS) PVC PVC","0.00147","0.000151","0.00147","0.000151"
"65mm2 (19/0.080in) Cu TB","0.000322","0.000349","0.000322","0.000349"
"2 - 1x35mm2 Al XLPE PVC","0.00111","0.000132","0.00111","0.000132"
"40mm2 (6/3.00mm+1/3.00mm) Ferret ACSR PVC","0.0008267","0.0003977","0.0008267","0.0003977"
"1 - 4x150mm2 Al XLPE","0.000265","0.0000943","0.000265","0.0000943"
"65mm2 (19/0.080in) Cu Bare","0.000322","0.000349","0.000322","0.000349"
"25mm2 (6/2.36mm+1/2.36mm) Gopher ACSR PVC","0.0013306","0.0004126","0.0013306","0.0004126"
"1 - 4x50mm2 Al XLPE","0.000822","0.000126","0.000822","0.000126"
"1 - 4x50mm2 Al ABC PVC","0.000796","0.0000924","0.000796","0.0000924"
"4 - 1x35mm2 Cu PVC","0.000668","0.000117","0.000668","0.000117"
"4 - 1x16mm2 Cu PVC","0.00147","0.000151","0.00147","0.000151"
"70mm2 Cu Bare","0.000322","0.000349","0.000322","0.000349"
"1 - 3x65mm2 Cu PVC + 1 - 16mm2 Cu Bare","0.000342","0.000106","0.000342","0.000106"
"1 - 4x16mm2 (7/0.064in) Cu","0.00147","0.000151","0.00147","0.000151"
"1 - 1x25mm2 (19/0.052in) Cu PVC","0.000927","0.000141","0.000927","0.000141"
"4 - 1x35mm2 ( 19/0.064in) Cu PVC","0.000668","0.000117","0.000668","0.000117"
"4 - 1x65mm2 (19/0.083in) Cu PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 3x14mm2 (7/0.064in) Cu N/S PVC","0.00149","0.000122","0.00149","0.000122"
"1 - 1x35mm2 Cu N/S PVC","0.000668","0.000117","0.000668","0.000117"
"4 - 1x65mm2 Al PVC","0.000568","0.000119","0.000568","0.000119"
"1 - 4x16mm2 Cu PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 1x70mm2 (0.110in2) Al PVC","0.000568","0.000119","0.000568","0.000119"
"1 - 4x25mm2 Cu PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 1x2.5mm2 (7/0.029in) Cu N/S PVC","0.00945","0.000102","0.00945","0.000102"
"110mm2 (18/2.80mm+1/2.80mm) Stoat ACSR Bare","0.0003154","0.0004372","0.0003154","0.0004372"
"4 - 1x25mm2 Cu PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 1x230mm2 (0.358in2) Al","0.000161","0.0000987","0.000161","0.0000987"
"16mm2 (7/0.064in+7/0.064in) Cu Bare","0.00149","0.00038","0.00149","0.00038"
"1 - 2x6mm2 + E Cu (TPS) PVC PVC","0.00393","0.0000887","0.00393","0.0000887"
"4 - 1x300mm2 Cu XLPE","0.0000798","0.0000858","0.0000798","0.0000858"
"1 - 4x185mm2 Cu XLPE","0.000127","0.0000914","0.000127","0.0000914"
"1 - 2x6mm2 (7/0.044in) Cu N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 2x35mm2 (7/0.110in) Al PVC","0.00111","0.000132","0.00111","0.000132"
"4 - 1x50mm2 Al XLPE PVC","0.000822","0.000126","0.000822","0.000126"
"4 - 1x25mm2 Al XLPE PVC","0.00154","0.000141","0.00154","0.000141"
"1 - 1x16mm2 (7/0.064in) Cu (TPS) PVC PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x16mm2 (7/0.064in) Cu PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x25mm2 (7/0.083in) Cu PVC","0.000927","0.000141","0.000927","0.000141"
"35mm2 (19/0.064in) Cu Bare","0.0004932","0.0004662","0.0004932","0.0004662"
"4 - 1x185mm2 Cu XLPE","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x185mm2 Al XLPE SWA PVC","0.000211","0.000103","0.000211","0.000103"
"40mm2 (19/0.064in) Cu TB","0.000669933","0.0003977","0.000669933","0.0003977"
"1 - 2x2.5mm2 (7/0.029in) + E Cu (TPS) PVC PVC","0.00945","0.000102","0.00945","0.000102"
"1 - 4x200mm2 Al XLPE SWA PVC","0.000182","0.0000928","0.000182","0.0000928"
"1 - 3x50mm2 Al N/S PVC","0.000822","0.000126","0.000822","0.000126"
"4 - 1x100mm2 Al XLPE PVC","0.000411","0.000112","0.000411","0.000112"
"4 - 1x65mm2 Cu PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 1x6mm2 (7/0.044in)Cu N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 3x10mm2 Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 1x2.5mm2 Cu (TPS) PVC PVC","0.00945","0.000102","0.00945","0.000102"
"4 - 1x240mm2 Cu PVC","0.0000986","0.0000882","0.0000986","0.0000882"
"1 - 3x2.5mm2 Cu N/S PVC","0.00945","0.000102","0.00945","0.000102"
"3 - 1x16mm2 Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x120mm2 Shaped Al XLPE","0.000325","0.0000969","0.000325","0.0000969"
"1 - 3x6mm2 Cu N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"4x35mm2 ABC + 1 SL","0.00108","0.0000982","0.00108","0.0000982"
"1 - 1x25mm2 Cu HD N/S PVC","0.000927","0.000141","0.000927","0.000141"
"4 - 3 - 1x500mm2 Cu PVC","0.0000804","0.0000897","0.0000804","0.0000897"
"ABC Heavy","0.000398","0.0000868","0.000398","0.0000868"
"1 - 4x150mm2 Al ABC PVC","0.000257","0.0000844","0.000257","0.0000844"
"4 - 1x120mm2 Al XLPE PVC","0.000325","0.0000969","0.000325","0.0000969"
"1 - 4x120mm2 Cu XLPE SWA PVC","0.000196","0.0000969","0.000196","0.0000969"
"40mm2 (19/0.064in) Cu Bare","0.0004932","0.0004662","0.0004932","0.0004662"
"4 - 1x95mm2 Cu XLPE PVC","0.000247","0.000112","0.000247","0.000112"
"4 - 1x70mm2 Cu 600/1000V XLPE PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 2x14mm2 (7/0.064in) Cu N/S PVC","0.00149","0.000122","0.00149","0.000122"
"1 - 4x240mm2 Al XLPE PVC","0.000161","0.0000987","0.000161","0.0000987"
"1 - 4x120mm2 Al/XLPE","0.000325","0.0000969","0.000325","0.0000969"
"1 - 1x6mm2 Cu HD N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"35mm2 Cu Bare","0.0004932","0.0004662","0.0004932","0.0004662"
"1 - 4x16mm2 Cu SWA","0.00147","0.000151","0.00147","0.000151"
"4 - 1x500mm2 Al XLPE","0.0000804","0.0000897","0.0000804","0.0000897"
"1 - 4x25mm2 Cu","0.000927","0.000141","0.000927","0.000141"
"1 - 4x120mm2 Al XLPE PVC","0.000325","0.0000969","0.000325","0.0000969"
"1 - 3x95mm2 Cu + 1x35mm2 Cu","0.000247","0.000112","0.000247","0.000112"
"4 - 1x25mm2 (7/0.083in) Cu XLPE PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 4x185mm2 Cu","0.000127","0.0000914","0.000127","0.0000914"
"1 - 1x35mm2 Al XLPE PVC","0.00111","0.000132","0.00111","0.000132"
"4x95mm2 ABC + 2 SL","0.000398","0.0000868","0.000398","0.0000868"
"1 - 4x120mm2 (0.2in2) Cu","0.000196","0.0000969","0.000196","0.0000969"
"1 - 1x25mm2 Al PVC","0.00154","0.000141","0.00154","0.000141"
"1 - 3x25mm2 Al N/S PVC","0.00154","0.000141","0.00154","0.000141"
"1 - 3x25mm2 Cu","0.000927","0.000141","0.000927","0.000141"
"1 - 2x4mm2 Cu N/S PVC","0.00588","0.000093","0.00588","0.000093"
"1 - 3x10mm2 (0.0145in2) Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 1x16mm2 (0.0225in2) Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 1x10mm2 (7/0.0145in) Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"1 - 4x120mm2 Al XLPE","0.000325","0.0000969","0.000325","0.0000969"
"1 - 4x25mm2 (19/0.052in) Cu","0.000927","0.000141","0.000927","0.000141"
"4 - 1x16mm2 (7/0.064in) Cu PVC","0.00147","0.000151","0.00147","0.000151"
"4 - 1x70mm2 (0.090in2) Al PVC","0.000568","0.000119","0.000568","0.000119"
"4 - 1x120mm2 Cu CANTOL","0.000196","0.0000969","0.000196","0.0000969"
"1 - 1x16mm2 Cu N/S","0.00147","0.000151","0.00147","0.000151"
"1 - 4x35mm2 Cu XLPE PVC","0.000668","0.000117","0.000668","0.000117"
"4 - 1x185mm2 Cu PVC","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x195mm2 (0.3in2) Cu","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x25mm2 (0.04in2) Cu","0.000927","0.000141","0.000927","0.000141"
"1 - 4x65mm2 (0.1in2) Cu","0.000342","0.000106","0.000342","0.000106"
"50mm2 Cu PVC","0.000494","0.000112","0.000494","0.000112"
"1 - 2x16mm2 (0.0225in2) Cu","0.00147","0.000151","0.00147","0.000151"
"1 - 4x195mm2 (0.3in2) Cu PILCSWAJS","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x16mm2 (0.0225in2) Cu","0.00147","0.000151","0.00147","0.000151"
"1 - 2x15mm2 (7/0.064in) SWA","0.00149","0.000122","0.00149","0.000122"
"1 - 2x4mm2 + E Cu (TPS) PVC PVC","0.00588","0.000093","0.00588","0.000093"
"1 - 4x320mm2 (0.5in2) Cu","0.0000803","0.0000858","0.0000803","0.0000858"
"1 - 3x185mm2 Cu + 1x95mm2 Cu","0.000127","0.0000914","0.000127","0.0000914"
"1 - 2x16mm2 (7/0.064in) Cu N/S PVC","0.00147","0.000151","0.00147","0.000151"
"1 - 4x185mm2 (0.3in2) Al XLPE PVC","0.000211","0.000103","0.000211","0.000103"
"1 - 3x10mm2 (7/0.052in) Cu N/S PVC","0.00233","0.000122","0.00233","0.000122"
"16mm2 (7/0.064in) Cu HD Bare","0.00149","0.00038","0.00149","0.00038"
"1 - 4x150mm2 Cu","0.000159","0.0000943","0.000159","0.0000943"
"1 - 1x14mm2 (7/0.064in) Cu N/S PVC","0.00149","0.000122","0.00149","0.000122"
"1 - 3x320mm2 (0.5in2) Al PILCSTAJS","0.00013","0.0000959","0.00013","0.0000959"
"4 - 1x50mm2 Cu","0.000494","0.000112","0.000494","0.000112"
"1 - 3x65mm2 (0.1in2) + 1x35mm2 (0.06in2) Cu","0.000342","0.000106","0.000342","0.000106"
"1 - 2x6mm2 (7/0.036in) + E Cu (TPS) PVC PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 3x25mm2 (0.04in2) Cu + 1x16mm2 (0.0225in2) Cu","0.000927","0.000141","0.000927","0.000141"
"1 - 4x65mm2 (0.1in2) Cu PILCSWAJS","0.000342","0.000106","0.000342","0.000106"
"1 - 4x185mm2 Cu PILCSWAJS","0.000127","0.0000914","0.000127","0.0000914"
"1 - 3x195mm2 (0.3in2) Cu PVC + 1x95mm2 (0.15in2) Cu","0.000127","0.0000914","0.000127","0.0000914"
"1 - 4x95mm2 (0.15in2) Cu","0.000247","0.000112","0.000247","0.000112"
