icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0001622948WE64C,10043153,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622952WEE70,10034631,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622952WEE70,10034631,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622954WEFFF,10043169,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622954WEFFF,10043169,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622956WEF7A,10043170,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622956WEF7A,10043170,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622958WECE1,10043079,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622958WECE1,10043079,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622964WE807,10064740,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622964WE807,10064740,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622966WE882,10066720,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622966WE882,10066720,T7287-U02,T7287,2022-10-20 00:00:00,,
0001622967WE4C7,10060807,T1200-U04,T1200,2022-05-01 00:00:00,2022-10-20 00:00:00,tx change
0001622967WE4C7,10060807,T7287-U02,T7287,2022-10-20 00:00:00,,
0001635278WEE3B,,T3892-U01,T3892,2022-05-01 00:00:00,2024-01-22 00:00:00,tx change
0001635278WEE3B,,T369-U02,T369,2024-01-22 00:00:00,,
0001635960WE58C,10006574,T1932-U03,T1932,2022-05-01 00:00:00,2023-06-26 00:00:00,Meter change
0001635960WE58C,10075195,T1932-U03,T1932,2023-06-26 00:00:00,,
0001712158WE9AC,10039338,T4943-U06,T4943,2022-05-01 00:00:00,2022-06-03 00:00:00,tx change
0001712158WE9AC,10039338,T3432-U01,T3432,2022-06-03 00:00:00,,
0001712171WEAA8,10027228,T4943-U06,T4943,2022-05-01 00:00:00,2022-06-03 00:00:00,tx change
0001712171WEAA8,10027228,T3432-U01,T3432,2022-06-03 00:00:00,,
0001717943WEAF8,,T1611-U05,T1611,2022-05-01 00:00:00,2023-09-15 00:00:00,icp decom
0001717989WEF86,10045597,T4943-U04,T4943,2022-05-01 00:00:00,2023-05-25 00:00:00,tx change
0001717989WEF86,10045597,T7609-U03,T7609,2023-05-25 00:00:00,,
0001806265WE217,10055781,T7358-U02,T7358,2022-05-01 00:00:00,2022-08-01 00:00:00,icp decom
0001817408WEDFB,10014363,T3351-U01,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817408WEDFB,10014363,T7562-U02,T7562,2022-08-02 00:00:00,,
0001817409WE1BE,10043232,T3351-U01,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817409WE1BE,10043232,T7562-U02,T7562,2022-08-02 00:00:00,,
0001817413WE982,10013969,T3351-U03,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817413WE982,10013969,T7562-U04,T7562,2022-08-02 00:00:00,,
0001817414WE448,10035994,T3351-U03,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817414WE448,10035994,T7562-U04,T7562,2022-08-02 00:00:00,,
0001817415WE80D,10035995,T3351-U03,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817415WE80D,10035995,T7562-U04,T7562,2022-08-02 00:00:00,,
0001817416WE4CD,10013965,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817416WE4CD,10013965,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817417WE888,10045703,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817417WE888,10045703,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817418WE756,,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817418WE756,,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817419WEB13,10022961,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817419WEB13,10022961,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817421WEEFF,10022959,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817421WEEFF,10022959,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817422WE23F,,T3351-U02,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817422WE23F,,T7562-U03,T7562,2022-08-02 00:00:00,,
0001817426WE335,10021562,T3351-U06,T3351,2022-05-01 00:00:00,2022-08-02 00:00:00,tx change
0001817426WE335,10021562,T7562-U01,T7562,2022-08-02 00:00:00,,
0001821255WE842,10047747,T2019-U03,T2019,2022-05-01 00:00:00,2023-12-05 00:00:00,tx change
0001821255WE842,10047747,T2347-U04,T2347,2023-12-05 00:00:00,,
0001821315WE3E3,10035901,T2019-U04,T2019,2022-05-01 00:00:00,2024-03-05 00:00:00,Meter change
0001821315WE3E3,10076592,T2019-U04,T2019,2024-03-05 00:00:00,,
0002030122WEA2D,10029645,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030122WEA2D,10029645,T4363-U02,T4363,2023-02-27 00:00:00,,
0002030123WE668,,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030123WE668,,T4363-U02,T4363,2023-02-27 00:00:00,,
0002030124WEBA2,10021627,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030124WEBA2,10021627,T4363-U02,T4363,2023-02-27 00:00:00,,
0002030125WE7E7,,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030125WE7E7,,T4363-U02,T4363,2023-02-27 00:00:00,,
0002030135WED4A,10042401,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030135WED4A,10042401,T7471-U04,T7471,2023-02-27 00:00:00,,
0002030181WEEF2,10042362,T2581-U03,T2581,2022-05-01 00:00:00,2023-02-27 00:00:00,tx change
0002030181WEEF2,10042362,T7471-U05,T7471,2023-02-27 00:00:00,,
