meter,Phase,status,Notes
10021540,C,0,Long term verified disconnected
10062164,C,0,Long term verified disconnected
10004717,C,0,Long term verified disconnected
10003728,C,0,Long term verified disconnected
10064353,C,0,Long term verified disconnected
10005280,C,0,Long term verified disconnected
10052526,C,0,Long term verified disconnected
10066685,C,0,Long term verified disconnected
10053762,C,0,Long term verified disconnected
10052439,C,0,Long term verified disconnected
10004338,C,0,Long term verified disconnected
10005153,C,0,Long term verified disconnected
10068383,C,0,Long term verified disconnected
10004208,C,0,Long term verified disconnected
10005367,C,0,Long term verified disconnected
10064477,C,0,Long term verified disconnected
10006463,C,0,Long term verified disconnected
10032890,C,0,Long term verified disconnected
10006303,C,0,Long term verified disconnected
10004123,C,0,Long term verified disconnected
10053272,C,0,Long term verified disconnected
10005243,C,0,Long term verified disconnected
10006938,C,0,Long term verified disconnected
10063928,C,0,Long term verified disconnected
10006633,C,0,Long term verified disconnected
10066268,C,0,Long term verified disconnected
10053470,C,0,Long term verified disconnected
10029538,C,0,Long term verified disconnected
10063960,C,0,Long term verified disconnected
10004213,C,0,Long term verified disconnected
10066550,C,0,Long term verified disconnected
10030246,C,0,Long term verified disconnected
10053614,C,0,Long term verified disconnected
10063980,C,0,Long term verified disconnected
10030116,C,0,Long term verified disconnected
10005010,C,0,Long term verified disconnected
10030099,C,0,Long term verified disconnected
10004872,C,0,Long term verified disconnected
10030438,C,0,Long term verified disconnected
10004302,C,0,Long term verified disconnected
10052379,C,0,Long term verified disconnected
10005633,C,0,Long term verified disconnected
10064142,C,0,Long term verified disconnected
10065944,C,0,Long term verified disconnected
10034373,C,0,Long term verified disconnected
10053102,C,0,Long term verified disconnected
10004212,B,0,Long term verified disconnected
10029641,C,0,Long term verified disconnected
10021428,C,0,Long term verified disconnected
10035879,C,0,Long term verified disconnected
10004529,C,0,Long term verified disconnected
10052983,C,0,Long term verified disconnected
10006668,C,0,Long term verified disconnected
10065512,C,0,Long term verified disconnected
10006945,C,0,Long term verified disconnected
10034358,C,0,Long term verified disconnected
10005812,B,0,Long term verified disconnected
10005812,C,0,Long term verified disconnected
10053313,C,0,Long term verified disconnected
10001365,C,0,Long term verified disconnected
10066041,C,0,Long term verified disconnected
10004143,C,0,Long term verified disconnected
10004987,C,0,Long term verified disconnected
10053021,C,0,Long term verified disconnected
10071042,C,0,Long term verified disconnected
10066194,C,0,Long term verified disconnected
10062254,C,0,Long term verified disconnected
10052975,C,0,Long term verified disconnected
10053179,C,0,Long term verified disconnected
10052581,C,0,Long term verified disconnected
10006548,C,0,Long term verified disconnected
10029323,C,0,Long term verified disconnected
10052702,C,0,Long term verified disconnected
10066298,C,0,Long term verified disconnected
10004605,C,0,Long term verified disconnected
10030652,C,0,Long term verified disconnected
10005380,C,0,Long term verified disconnected
10004390,C,0,Long term verified disconnected
10005763,C,0,Long term verified disconnected
10006867,C,0,Long term verified disconnected
10004080,C,0,Long term verified disconnected
10030051,C,0,Long term verified disconnected
10066599,C,0,Long term verified disconnected
10053769,C,0,Long term verified disconnected
10005216,C,0,Long term verified disconnected
10005458,C,0,Long term verified disconnected
10053131,C,0,Long term verified disconnected
10065353,C,0,Long term verified disconnected
10021585,C,0,Long term verified disconnected
10005931,C,0,Long term verified disconnected
10034449,C,0,Long term verified disconnected
10005877,C,0,Long term verified disconnected
10053262,C,0,Long term verified disconnected
10062159,C,0,Long term verified disconnected
10004066,C,0,Long term verified disconnected
10053444,C,0,Long term verified disconnected
10004107,C,0,Long term verified disconnected
10053717,C,0,Long term verified disconnected
10004612,C,0,Long term verified disconnected
10053812,C,0,Long term verified disconnected
10064077,C,0,Long term verified disconnected
10066050,B,0,Long term verified disconnected
10066050,C,0,Long term verified disconnected
10006919,C,0,Long term verified disconnected
10075207,C,0,Long term verified disconnected
10005463,C,0,Long term verified disconnected
10053651,C,0,Long term verified disconnected
10004525,C,0,Long term verified disconnected
10004057,C,0,Long term verified disconnected
10005379,C,0,Long term verified disconnected
10004662,C,0,Long term verified disconnected
10003611,B,0,Long term verified disconnected
10004659,C,0,Long term verified disconnected
10053772,C,0,Long term verified disconnected
10005942,C,0,Long term verified disconnected
10053462,C,0,Long term verified disconnected
10065040,C,0,Long term verified disconnected
10005921,C,0,Long term verified disconnected
10034446,C,0,Long term verified disconnected
10073056,C,0,Long term verified disconnected
10065544,C,0,Long term verified disconnected
10053728,C,0,Long term verified disconnected
10053130,C,0,Long term verified disconnected
10006183,C,0,Long term verified disconnected
10005744,C,0,Long term verified disconnected
10052673,C,0,Long term verified disconnected
10004106,C,0,Long term verified disconnected
10063871,C,0,Long term verified disconnected
10062155,C,0,Long term verified disconnected
10053067,C,0,Long term verified disconnected
10065489,C,0,Long term verified disconnected
10004581,C,0,Long term verified disconnected
10052422,C,0,Long term verified disconnected
10065160,C,0,Long term verified disconnected
10004723,C,0,Long term verified disconnected
10053170,C,0,Long term verified disconnected
10034379,C,0,Long term verified disconnected
10053071,C,0,Long term verified disconnected
10006113,C,0,Long term verified disconnected
10004189,C,0,Long term verified disconnected
10062070,C,0,Long term verified disconnected
10004085,C,0,Long term verified disconnected
10004517,C,0,Long term verified disconnected
10004984,C,0,Long term verified disconnected
10006155,C,0,Long term verified disconnected
10006536,C,0,Long term verified disconnected
10030206,C,0,Long term verified disconnected
10053068,C,0,Long term verified disconnected
10004432,C,0,Long term verified disconnected
10065870,C,0,Long term verified disconnected
10004652,C,0,Long term verified disconnected
10004328,C,0,Long term verified disconnected
10064305,C,0,Long term verified disconnected
10003678,C,0,Long term verified disconnected
10052626,C,0,Long term verified disconnected
10066258,C,0,Long term verified disconnected
10066306,C,0,Long term verified disconnected
10006425,C,0,Long term verified disconnected
10066512,C,0,Long term verified disconnected
10065481,B,0,Long term verified disconnected
10065481,C,0,Long term verified disconnected
10064146,C,0,Long term verified disconnected
10064274,C,0,Long term verified disconnected
10004648,C,0,Long term verified disconnected
10065498,C,0,Long term verified disconnected
10005944,C,0,Long term verified disconnected
10065499,C,0,Long term verified disconnected
10065761,C,0,Long term verified disconnected
10003754,C,0,Long term verified disconnected
10066242,C,0,Long term verified disconnected
10005298,C,0,Long term verified disconnected
10066253,C,0,Long term verified disconnected
10065810,C,0,Long term verified disconnected
10065705,C,0,Long term verified disconnected
10065497,C,0,Long term verified disconnected
10064366,C,0,Long term verified disconnected
10065776,C,0,Long term verified disconnected
10032704,C,0,Long term verified disconnected
10029449,C,0,Long term verified disconnected
10029472,C,0,Long term verified disconnected
10030432,C,0,Long term verified disconnected
10067644,C,0,Long term verified disconnected
10067775,C,0,Long term verified disconnected
10006968,C,0,Long term verified disconnected
10068325,C,0,Long term verified disconnected
10067875,C,0,Long term verified disconnected
10032855,C,0,Long term verified disconnected
10066553,C,0,Long term verified disconnected
10065295,C,0,Long term verified disconnected
10068436,C,0,Long term verified disconnected
10068317,C,0,Long term verified disconnected
10067894,C,0,Long term verified disconnected
10068445,C,0,Long term verified disconnected
10067730,C,0,Long term verified disconnected
10068298,C,0,Long term verified disconnected
10068243,C,0,Long term verified disconnected
10068246,C,0,Long term verified disconnected
10068214,C,0,Long term verified disconnected
10005907,C,0,Long term verified disconnected
10004258,C,0,Long term verified disconnected
10067796,C,0,Long term verified disconnected
10067688,C,0,Long term verified disconnected
10063994,C,0,Long term verified disconnected
10052433,C,0,Long term verified disconnected
10069315,C,0,Long term verified disconnected
10006356,C,0,Long term verified disconnected
10005350,B,0,Long term verified disconnected
10005350,C,0,Long term verified disconnected
10068435,C,0,Long term verified disconnected
10068164,C,0,Long term verified disconnected
